Platform,Project,Source,Asset,Database_Dataset,Table_Name,Table_Size_GB,File_Path_HDFS,Link_Script_Notebook,Link_Pipeline_Orchestration
Fabric,Star,Fabric,Mirrored DB DataLanding,L1_STAR,Procurement_PurchaseOrderParts,1.22303008984,,https://app.fabric.microsoft.com/groups/361ae196-2700-41ad-b660-0cec99183102/list?ctid=ca06aaa2-e01f-4e0c-9567-f2256f398023&experience=fabric-developer&subfolderId=27506,
Fabric,Star,Fabric,Mirrored DB DataLanding,L1_STAR,Procurement_PurchaseOrderPricingDetails,0.00000000000,,https://app.fabric.microsoft.com/groups/361ae196-2700-41ad-b660-0cec99183102/list?ctid=ca06aaa2-e01f-4e0c-9567-f2256f398023&experience=fabric-developer&subfolderId=27506,
Fabric,Star,Fabric,Mirrored DB DataLanding,L1_STAR,Procurement_PurchaseOrderSuggestionPCUnits,3.52064514160,,https://app.fabric.microsoft.com/groups/361ae196-2700-41ad-b660-0cec99183102/list?ctid=ca06aaa2-e01f-4e0c-9567-f2256f398023&experience=fabric-developer&subfolderId=27506,
Fabric,Star,Fabric,Mirrored DB DataLanding,L1_STAR,Procurement_PurchaseOrderSuggestionUnits,5.39996337890,,https://app.fabric.microsoft.com/groups/361ae196-2700-41ad-b660-0cec99183102/list?ctid=ca06aaa2-e01f-4e0c-9567-f2256f398023&experience=fabric-developer&subfolderId=27506,
Fabric,Star,Fabric,Mirrored DB DataLanding,L1_STAR,Procurement_PurchaseOrderSuggestionUnitsBySystem,5.49720001171,,https://app.fabric.microsoft.com/groups/361ae196-2700-41ad-b660-0cec99183102/list?ctid=ca06aaa2-e01f-4e0c-9567-f2256f398023&experience=fabric-developer&subfolderId=27506,
Fabric,Star,Fabric,Mirrored DB DataLanding,L1_STAR,Procurement_PurchaseOrderSuggestions,0.00360870312,,https://app.fabric.microsoft.com/groups/361ae196-2700-41ad-b660-0cec99183102/list?ctid=ca06aaa2-e01f-4e0c-9567-f2256f398023&experience=fabric-developer&subfolderId=27506,
Fabric,Star,Fabric,Mirrored DB DataLanding,L1_STAR,Procurement_PurchaseOrderSuggestionsBySystem,0.00395202636,,https://app.fabric.microsoft.com/groups/361ae196-2700-41ad-b660-0cec99183102/list?ctid=ca06aaa2-e01f-4e0c-9567-f2256f398023&experience=fabric-developer&subfolderId=27506,
Fabric,Star,Fabric,Mirrored DB DataLanding,L1_STAR,Procurement_PurchaseOrderSuggestionsPC,0.00231170605,,https://app.fabric.microsoft.com/groups/361ae196-2700-41ad-b660-0cec99183102/list?ctid=ca06aaa2-e01f-4e0c-9567-f2256f398023&experience=fabric-developer&subfolderId=27506,
Fabric,Star,Fabric,Mirrored DB DataLanding,L1_STAR,Procurement_PurchaseOrderTypes,0.00000762890,,https://app.fabric.microsoft.com/groups/361ae196-2700-41ad-b660-0cec99183102/list?ctid=ca06aaa2-e01f-4e0c-9567-f2256f398023&experience=fabric-developer&subfolderId=27506,
Fabric,Star,Fabric,Mirrored DB DataLanding,L1_STAR,Procurement_PurchaseOrderUnits,4.16612243652,,https://app.fabric.microsoft.com/groups/361ae196-2700-41ad-b660-0cec99183102/list?ctid=ca06aaa2-e01f-4e0c-9567-f2256f398023&experience=fabric-developer&subfolderId=27506,
